t,phase,head_z,com_err_x,power_w,bus_v,soc,peak_a
23.152,wave in,1.0992,-0.0042,57.0,54.47,0.99925,1.91
23.202,wave in,1.0992,-0.0041,57.0,54.47,0.99925,1.91
23.252,wave in,1.0992,-0.0040,57.1,54.47,0.99925,1.91
23.302,wave in,1.0992,-0.0039,57.1,54.47,0.99924,1.91
23.352,wave in,1.0992,-0.0038,57.0,54.47,0.99924,1.91
23.402,wave in,1.0992,-0.0038,57.1,54.47,0.99924,1.91
23.452,wave in,1.0992,-0.0037,57.5,54.47,0.99924,1.91
23.502,wave in,1.0992,-0.0037,57.9,54.46,0.99924,1.91
23.552,wave in,1.0992,-0.0036,57.9,54.46,0.99924,1.91
23.602,wave out,1.0992,-0.0036,57.7,54.46,0.99924,1.91
23.652,wave out,1.0992,-0.0036,60.0,54.46,0.99923,1.91
23.702,wave out,1.0992,-0.0036,61.7,54.46,0.99923,1.91
23.752,wave out,1.0992,-0.0036,62.3,54.45,0.99923,1.91
23.802,wave out,1.0992,-0.0036,62.3,54.45,0.99923,1.91
23.852,wave out,1.0991,-0.0036,62.1,54.46,0.99923,1.91
23.902,wave out,1.0991,-0.0037,61.9,54.46,0.99923,1.91
23.952,wave out,1.0991,-0.0037,61.7,54.46,0.99923,1.91
24.002,wave out,1.0991,-0.0038,61.6,54.46,0.99922,1.91
24.052,wave out,1.0991,-0.0038,61.5,54.46,0.99922,1.91
24.102,wave out,1.0991,-0.0039,61.4,54.46,0.99922,1.91
24.152,wave out,1.0991,-0.0040,61.2,54.46,0.99922,1.91
24.202,wave out,1.0991,-0.0041,60.7,54.46,0.99922,1.91
24.252,wave out,1.0991,-0.0042,57.6,54.46,0.99922,1.91
24.302,wave out,1.0991,-0.0043,56.2,54.47,0.99922,1.91
24.352,wave out,1.0991,-0.0045,55.8,54.47,0.99921,1.91
24.402,arm down,1.0991,-0.0046,55.9,54.47,0.99921,1.91
24.452,arm down,1.0992,-0.0047,56.4,54.47,0.99921,1.91
24.502,arm down,1.0992,-0.0049,55.0,54.47,0.99921,1.91
24.552,arm down,1.0993,-0.0050,53.9,54.47,0.99921,1.91
24.602,arm down,1.0993,-0.0048,55.0,54.47,0.99921,1.91
24.652,arm down,1.0993,-0.0043,56.8,54.47,0.99921,1.91
24.702,arm down,1.0993,-0.0036,58.4,54.46,0.99920,1.91
24.752,arm down,1.0993,-0.0029,59.5,54.46,0.99920,1.91
24.802,arm down,1.0993,-0.0023,60.1,54.46,0.99920,1.91
24.852,arm down,1.0993,-0.0017,60.4,54.46,0.99920,1.91
24.902,arm down,1.0993,-0.0013,60.4,54.46,0.99920,1.91
24.952,arm down,1.0993,-0.0009,60.4,54.46,0.99920,1.91
25.002,arm down,1.0993,-0.0007,60.4,54.46,0.99920,1.91
25.052,arm down,1.0993,-0.0005,60.4,54.46,0.99919,1.91
25.102,arm down,1.0993,-0.0003,60.4,54.46,0.99919,1.91
25.152,arm down,1.0993,-0.0003,60.4,54.46,0.99919,1.91
25.202,arm down,1.0993,-0.0003,60.3,54.46,0.99919,1.91
25.252,arm down,1.0993,-0.0003,60.2,54.46,0.99919,1.91
25.302,arm down,1.0993,-0.0004,60.1,54.46,0.99919,1.91
25.352,arm down,1.0993,-0.0006,59.9,54.46,0.99919,1.91
25.402,arm down,1.0992,-0.0009,59.6,54.46,0.99918,1.91
25.452,arm down,1.0992,-0.0012,59.4,54.46,0.99918,1.91
25.502,arm down,1.0992,-0.0015,59.0,54.46,0.99918,1.91
25.552,arm down,1.0991,-0.0019,58.7,54.46,0.99918,1.91
25.602,arm down,1.0991,-0.0024,58.3,54.46,0.99918,1.91
25.652,arm down,1.0991,-0.0029,58.0,54.46,0.99918,1.91
25.702,arm down,1.0990,-0.0034,68.2,54.44,0.99918,1.91
25.752,arm down,1.0990,-0.0038,66.2,54.45,0.99917,1.91
25.802,arm down,1.0989,-0.0045,61.2,54.46,0.99917,1.91
25.852,arm down,1.0989,-0.0052,64.1,54.45,0.99917,1.91
25.902,arm down,1.0988,-0.0058,62.3,54.45,0.99917,1.91
25.952,arm down,1.0988,-0.0064,56.4,54.47,0.99917,1.91
26.002,arm down,1.0988,-0.0069,56.1,54.47,0.99917,1.91
26.052,arm down,1.0988,-0.0073,55.6,54.47,0.99917,1.91
26.102,arm down,1.0988,-0.0076,55.2,54.47,0.99916,1.91
26.152,arm down,1.0988,-0.0079,55.1,54.47,0.99916,1.91
26.202,arm down,1.0989,-0.0080,55.1,54.47,0.99916,1.91
26.252,arm down,1.0989,-0.0081,55.2,54.47,0.99916,1.91
26.302,arm down,1.0989,-0.0082,55.4,54.47,0.99916,1.91
26.352,arm down,1.0989,-0.0082,55.4,54.47,0.99916,1.91
26.402,look left,1.0989,-0.0082,55.5,54.47,0.99916,1.91
26.452,look left,1.0989,-0.0082,56.1,54.47,0.99915,1.91
26.502,look left,1.0989,-0.0082,56.6,54.47,0.99915,1.91
26.552,look left,1.0989,-0.0082,56.8,54.46,0.99915,1.91
26.602,look left,1.0989,-0.0082,57.0,54.46,0.99915,1.91
26.652,look left,1.0989,-0.0083,57.0,54.46,0.99915,1.91
26.702,look left,1.0989,-0.0083,57.1,54.46,0.99915,1.91
26.752,look left,1.0989,-0.0083,57.1,54.46,0.99915,1.91
26.802,look left,1.0989,-0.0083,57.1,54.46,0.99914,1.91
26.852,look left,1.0989,-0.0083,57.1,54.46,0.99914,1.91
26.902,look left,1.0989,-0.0083,57.1,54.46,0.99914,1.91
26.952,look left,1.0989,-0.0083,57.1,54.46,0.99914,1.91
27.002,look left,1.0989,-0.0083,57.1,54.46,0.99914,1.91
27.052,look left,1.0989,-0.0083,57.1,54.46,0.99914,1.91
27.102,look left,1.0989,-0.0083,57.1,54.46,0.99914,1.91
27.152,look left,1.0989,-0.0083,57.1,54.46,0.99913,1.91
27.202,look left,1.0989,-0.0083,57.1,54.46,0.99913,1.91
27.252,look left,1.0989,-0.0083,57.1,54.46,0.99913,1.91
27.302,look left,1.0989,-0.0083,57.1,54.46,0.99913,1.91
27.352,look left,1.0989,-0.0083,57.1,54.46,0.99913,1.91
27.402,look left,1.0989,-0.0083,56.9,54.46,0.99913,1.91
27.452,look left,1.0989,-0.0083,55.7,54.47,0.99913,1.91
27.502,look left,1.0989,-0.0083,55.5,54.47,0.99913,1.91
27.552,look left,1.0989,-0.0083,55.5,54.47,0.99912,1.91
27.602,look left,1.0989,-0.0083,55.5,54.47,0.99912,1.91
27.652,look left,1.0989,-0.0083,55.5,54.47,0.99912,1.91
27.702,look left,1.0989,-0.0083,55.5,54.47,0.99912,1.91
27.752,look left,1.0989,-0.0083,55.5,54.47,0.99912,1.91
27.802,look left,1.0989,-0.0083,55.5,54.47,0.99912,1.91
27.852,look left,1.0989,-0.0083,55.5,54.47,0.99912,1.91
27.902,look right,1.0989,-0.0083,55.5,54.47,0.99911,1.91
27.952,look right,1.0989,-0.0083,56.5,54.46,0.99911,1.91
28.002,look right,1.0989,-0.0083,57.4,54.46,0.99911,1.91
28.052,look right,1.0989,-0.0083,57.8,54.46,0.99911,1.91
28.102,look right,1.0989,-0.0083,58.1,54.46,0.99911,1.91
28.152,look right,1.0989,-0.0083,58.2,54.46,0.99911,1.91
28.202,look right,1.0989,-0.0083,58.2,54.46,0.99911,1.91
28.252,look right,1.0989,-0.0083,58.3,54.46,0.99910,1.91
28.302,look right,1.0989,-0.0083,58.3,54.46,0.99910,1.91
28.352,look right,1.0989,-0.0083,58.3,54.46,0.99910,1.91
28.402,look right,1.0989,-0.0083,58.3,54.46,0.99910,1.91
28.452,look right,1.0989,-0.0083,58.3,54.46,0.99910,1.91
28.502,look right,1.0989,-0.0083,58.3,54.46,0.99910,1.91
28.552,look right,1.0989,-0.0083,58.3,54.46,0.99910,1.91
28.602,look right,1.0989,-0.0083,58.3,54.46,0.99909,1.91
28.652,look right,1.0989,-0.0083,58.3,54.46,0.99909,1.91
28.702,look right,1.0989,-0.0083,58.3,54.46,0.99909,1.91
28.752,look right,1.0989,-0.0083,58.3,54.46,0.99909,1.91
28.802,look right,1.0989,-0.0083,58.3,54.46,0.99909,1.91
28.852,look right,1.0989,-0.0083,58.3,54.46,0.99909,1.91
28.902,look right,1.0989,-0.0083,58.3,54.46,0.99909,1.91
28.952,look right,1.0989,-0.0083,58.3,54.46,0.99908,1.91
29.002,look right,1.0989,-0.0083,58.3,54.46,0.99908,1.91
29.052,look right,1.0989,-0.0083,58.3,54.46,0.99908,1.91
29.102,look right,1.0989,-0.0083,58.3,54.46,0.99908,1.91
29.152,look right,1.0989,-0.0083,58.3,54.46,0.99908,1.91
29.202,look right,1.0989,-0.0083,58.3,54.46,0.99908,1.91
29.252,look right,1.0989,-0.0083,58.3,54.46,0.99908,1.91
29.302,look right,1.0989,-0.0083,58.3,54.46,0.99908,1.91
29.352,look right,1.0989,-0.0083,58.3,54.46,0.99907,1.91
29.402,look right,1.0989,-0.0083,57.9,54.46,0.99907,1.91
29.452,look right,1.0989,-0.0083,55.9,54.47,0.99907,1.91
29.502,look right,1.0989,-0.0083,55.6,54.47,0.99907,1.91
29.552,look right,1.0989,-0.0083,55.5,54.47,0.99907,1.91
29.602,look right,1.0989,-0.0083,55.5,54.47,0.99907,1.91
29.652,look right,1.0989,-0.0083,55.5,54.47,0.99907,1.91
29.702,look right,1.0989,-0.0083,55.5,54.47,0.99906,1.91
29.752,look right,1.0989,-0.0083,55.5,54.47,0.99906,1.91
29.802,look right,1.0989,-0.0083,55.5,54.47,0.99906,1.91
29.852,look right,1.0989,-0.0083,55.5,54.47,0.99906,1.91
29.902,look ahead,1.0989,-0.0083,55.5,54.47,0.99906,1.91
29.952,look ahead,1.0989,-0.0083,56.0,54.46,0.99906,1.91
30.002,look ahead,1.0989,-0.0083,56.5,54.46,0.99906,1.91
30.052,look ahead,1.0989,-0.0083,56.8,54.46,0.99905,1.91
30.102,look ahead,1.0989,-0.0083,56.9,54.46,0.99905,1.91
30.152,look ahead,1.0989,-0.0083,57.0,54.46,0.99905,1.91
30.202,look ahead,1.0989,-0.0083,57.0,54.46,0.99905,1.91
30.252,look ahead,1.0989,-0.0083,57.1,54.46,0.99905,1.91
30.302,look ahead,1.0989,-0.0083,57.1,54.46,0.99905,1.91
30.352,look ahead,1.0989,-0.0083,57.1,54.46,0.99905,1.91
30.402,look ahead,1.0989,-0.0083,57.1,54.46,0.99904,1.91
30.452,look ahead,1.0989,-0.0083,57.1,54.46,0.99904,1.91
30.502,look ahead,1.0989,-0.0083,57.1,54.46,0.99904,1.91
30.552,look ahead,1.0989,-0.0083,57.1,54.46,0.99904,1.91
30.602,look ahead,1.0989,-0.0083,57.1,54.46,0.99904,1.91
30.652,look ahead,1.0989,-0.0083,57.1,54.46,0.99904,1.91
30.702,look ahead,1.0989,-0.0083,57.1,54.46,0.99904,1.91
30.752,look ahead,1.0989,-0.0083,57.1,54.46,0.99904,1.91
30.802,look ahead,1.0989,-0.0083,57.1,54.46,0.99903,1.91
30.852,look ahead,1.0989,-0.0083,57.1,54.46,0.99903,1.91
30.902,look ahead,1.0989,-0.0083,56.9,54.46,0.99903,1.91
30.952,look ahead,1.0989,-0.0083,55.7,54.46,0.99903,1.91
31.002,look ahead,1.0989,-0.0083,55.5,54.47,0.99903,1.91
31.052,look ahead,1.0989,-0.0083,55.5,54.47,0.99903,1.91
31.102,look ahead,1.0989,-0.0083,55.5,54.47,0.99903,1.91
31.152,look ahead,1.0989,-0.0083,55.5,54.47,0.99902,1.91
31.202,look ahead,1.0989,-0.0083,55.5,54.47,0.99902,1.91
31.252,look ahead,1.0989,-0.0083,55.5,54.47,0.99902,1.91
31.302,look ahead,1.0989,-0.0083,55.5,54.47,0.99902,1.91
31.352,look ahead,1.0989,-0.0083,55.5,54.46,0.99902,1.91
31.402,look ahead,1.0989,-0.0083,55.5,54.46,0.99902,1.91
31.452,look ahead,1.0989,-0.0083,55.5,54.46,0.99902,1.91
31.502,look ahead,1.0989,-0.0083,55.5,54.46,0.99901,1.91
31.552,look ahead,1.0989,-0.0083,55.5,54.46,0.99901,1.91
31.602,look ahead,1.0989,-0.0083,55.5,54.46,0.99901,1.91
31.652,look ahead,1.0989,-0.0083,55.5,54.46,0.99901,1.91
31.702,look ahead,1.0989,-0.0083,55.5,54.46,0.99901,1.91
31.752,look ahead,1.0989,-0.0083,55.5,54.46,0.99901,1.91
31.802,look ahead,1.0989,-0.0083,55.5,54.46,0.99901,1.91
31.852,look ahead,1.0989,-0.0083,55.5,54.46,0.99901,1.91
